,en,ja,zh,zh-TW
ui_label.edit_slide,"Edit slide","スライドを編集",,
ui_label.save,"Save","保存",,
ui_label.delete,"Delete","削除",,
ui_label.caption_title,"Caption Title","キャプションタイトル",,
ui_label.caption_body,"Caption Body","キャプション本文",,
ui_message.get_from_url,"The image file will be retrieved from the specified URL and saved.
Please enter the URL of the image file.","指定のURLから画像ファイルを取得して保存します。
画像ファイルのURLを入力してください。",,
ui_message.are_you_sure_you_want_to_delete_it,"Are you sure you want to delete it?","本当に削除してもよろしいですか？",,
